*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=BlueJamma-Current
*Date=18:21:48
*CreatedBy=Fritzing 0.9.9b.2021-09-22.0.9.6-35-gf0af53a9
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
147;;;76.9758;-58.7949;0;Bottom;Via25
148;;;66.576;-17.7948;0;Bottom;Hole16
149;;pth;141.523;-24.682;180;Bottom;Left
150;;;55.776;-17.7948;0;Bottom;Hole8
151;;THT;63.386;-13.695;-90;Bottom;Audio Volume
152;20Ω;1206 [SMD];47.5761;-35.6449;-90;Top;R41
153;;pth;128.223;-24.682;180;Bottom;Right
154;;LQFP;83.7259;-61.645;-90;Top;IC1
155;;;60.976;-27.5949;0;Bottom;Via78
156;;0805;122.676;-71.4299;-90;Top;LED2
157;;;42.3762;-64.3949;0;Bottom;Via36
158;;;122.376;-59.1949;0;Bottom;Via67
159;;;21.679;-59.4469;-69.4;Bottom;TXT28
160;;;181.88;-82.9008;0;Bottom;IMG15
161;Variable V;SOT-223-3;135.976;-70.0652;-270;Top;VR2
162;;;89.8762;-50.995;0;Bottom;Via69
163;;;18.8238;-59.7326;-69.4;Bottom;TXT27
164;;;77.676;-57.4949;0;Bottom;Via24
165;;SMA(DO-214AC);130.976;-74.8295;-270;Top;D2
166;;;35.7839;-24.2826;0;Bottom;TXT25
167;;THT;63.4417;-5.98106;180;Bottom;Audio Volume
168;22pf;0402 [SMD, JLCPCB];100.576;-60.8677;90;Top;C9
169;510Ω;0603 [SMD, JLCPCB];118.776;-67.5449;90;Top;R3
170;;;90.4762;-55.0949;0;Bottom;Via68
171;1kΩ;0402 [SMD, JLCPCB];52.976;-76.0299;90;Top;R27
172;;;138.671;-66.3931;0;Bottom;Via80
173;;;121.576;-32.595;0;Bottom;Via50
174;1kΩ;0402 [SMD, JLCPCB];78.976;-76.0299;90;Top;R14
175;1kΩ;0402 [SMD, JLCPCB];70.9761;-76.0299;90;Top;R18
176;;;40.2475;-49.4148;-90;Bottom;TXT2
177;;THT;63.576;-20.395;-90;Bottom;J14
178;;0805;92.2761;-49.8037;-90;Top;LED4
179;1kΩ;0402 [SMD, JLCPCB];98.9759;-76.0299;90;Top;R4
180;100kΩ;0402 [SMD, JLCPCB];58.641;-50.195;0;Top;R37
181;;;73.676;-30.795;0;Bottom;Via43
182;100nF;0402 [SMD, JLCPCB];119.837;-20.2529;-90;Top;C13
183;20pf;0402 [SMD, JLCPCB];93.6031;-60.0944;0;Top;C10
184;;;77.7759;-67.6949;0;Bottom;Via23
185;1kΩ;0402 [SMD, JLCPCB];60.9761;-76.0299;90;Top;R23
186;;power_jack_pth_lock;169.691;-81.5289;180;Bottom;+12v
187;1kΩ;0402 [SMD, JLCPCB];48.976;-76.0299;90;Top;R29
188;;;72.776;-55.895;0;Bottom;Via26
189;1kΩ;0402 [SMD, JLCPCB];94.976;-76.0299;90;Top;R6
190;1kΩ;0402 [SMD, JLCPCB];74.9758;-76.0299;90;Top;R16
191;10uF;0402 [SMD, JLCPCB];136.549;-76.1944;0;Top;C4
192;1kΩ;0402 [SMD, JLCPCB];66.9759;-76.0299;90;Top;R20
193;;;93.7759;-63.8949;0;Bottom;Via17
194;;;47.4759;-69.8949;0;Bottom;Via34
195;100nF;0402 [SMD, JLCPCB];76.3763;-66.8677;-90;Top;C6
196;;;101.967;-62.1911;0;Bottom;Via83
197;;;42.4761;-66.4949;0;Bottom;Via35
198;;;101.976;-67.8949;0;Bottom;Via55
199;;;95.3758;-63.8949;0;Bottom;Via18
200;;;45.576;-39.9949;0;Bottom;Via63
201;;;100.576;-65.6949;0;Bottom;Via65
202;;;55.5546;-50.131;-90;Bottom;TXT8
203;;;57.3762;-17.7948;0;Bottom;Hole12
204;510Ω;0603 [SMD, JLCPCB];122.676;-67.5449;90;Top;R2
205;;;58.8762;-17.7948;0;Bottom;Hole13
206;;;164.303;-61.4121;0;Bottom;IMG18
207;20pf;0402 [SMD, JLCPCB];100.577;-53.5221;-90;Top;C12
208;75Ω;0402 [SMD, JLCPCB];76.276;-29.1299;-90;Top;R34
209;;THT;13.8716;-81.8713;90;Bottom;J3
210;;;76.2762;-30.795;0;Bottom;Via44
211;;;43.476;-32.4948;0;Bottom;Via74
212;10uF;0402 [SMD, JLCPCB];143.903;-74.8944;0;Top;C2
213;;;111.176;-67.7949;0;Bottom;Via57
